question_id,question,retrieval_method,retrieved_ids,relevant_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,reference_answer,generated_answer,rouge_l,bertscore_f1,retrieval_latency,generation_latency,total_latency
1,How do I authenticate to the GitHub REST API?,tfidf,"108_github_apps_overview, 110_github_graphql_api, 003_github_rest_authentication",003_github_rest_authentication,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.5,0.5,Authentication is done using tokens like personal access tokens or GitHub App tokens.,"GitHub Apps are first-class integrations that authenticate as themselves rather than as a user, using short-lived installation tokens.
They are installed on an organisation or repository level and are granted only the permissions they explicitly request.
GitHub Apps can subscribe to webhook events, call the REST and GraphQL APIs, and act on behalf of users through user access tokens.
Because their permissions are scoped and their tokens expire, GitHub Apps are the recommended integration type for automated workflows and third-party services.",0.14432989690721648,0.8641821146011353,0.002610800031106919,109.96328809997067,109.96589890000178
2,What is the best way to avoid rate limit issues in GitHub API?,tfidf,"056_api_rate_limiting_strategies, 207_stackexchange_numbers, 007_github_rest_best_practices_concurrency","004_github_rest_rate_limits, 005_github_rest_best_practices_auth",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Using authenticated requests and avoiding excessive requests helps prevent rate limits.,"API rate limiting controls the number of requests a client can make within a time window
to protect server resources and ensure fair usage. Common algorithms include the fixed
window counter, sliding window log, token bucket, and leaky bucket. When a rate limit is
exceeded, APIs typically return a 429 Too Many Requests status code along with headers
indicating the limit, the remaining quota, and when the window resets. Clients should
implement exponential backoff with jitter when retrying after a 429 response to avoid
synchronized retry storms that worsen server load.",0.0784313725490196,0.8455110192298889,0.002632299961987883,4.6482697000028566,4.650901999964844
3,Why should I not send too many API requests at the same time?,tfidf,"200_stackexchange_oauth_authen, 051_http_caching, 023_http_overview",007_github_rest_best_practices_concurrency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Too many concurrent requests can trigger secondary rate limits.,"Some APIs rely on OAuth 2.0 to provide an authentication mechanism that allows applications to access user data in
a secure and structured manner.
The authentication process typically involves redirecting the user to a consent page, where the application is granted
specific permissions to access certain data or perform specific operations.
After successful authentication, the application receives an access token, which is then used to send authorized
requests to the API without requiring the user to log in each time.",0.022222222222222223,0.8335182070732117,0.002020699961576611,3.832745599967893,3.83476629992947
4,What are the main components of a REST API request?,tfidf,"032_openapi_components, 227_git_workflows, 195_stackexchange_request_id",002_github_rest_getting_started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A REST request includes method, path, headers, authentication, and parameters.","The components section of an OpenAPI document provides reusable definitions for schemas,
parameters, responses, request bodies, and security schemes. References to components
are made using the $ref keyword, which avoids repeating the same definition throughout
the document. Centralizing definitions in components improves consistency and reduces
duplication across a large API specification. Schemas defined in components typically
follow the JSON Schema standard.",0.056338028169014086,0.8529398441314697,0.0010315999970771372,2.3525259000016376,2.3535574999987148
5,How can I list repositories for an organization in GitHub?,tfidf,"010_github_list_org_repositories, 184_github_project_visualize, 009_github_repositories_overview",010_github_list_org_repositories,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,The list organization repositories endpoint returns repositories for a given organization.,"The 'List organization repositories' endpoint returns repositories for a given organization.
It accepts an organization name and supports filtering by repository type, such as all, public, private, forks, sources,
or member repositories.",0.5116279069767442,0.9140562415122986,0.0008331999997608364,4.439591399976052,4.440424599975813
6,What happens if I do not authenticate API requests?,tfidf,"108_github_apps_overview, 033_python_requests_library, 110_github_graphql_api","003_github_rest_authentication, 005_github_rest_best_practices_auth",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unauthenticated requests have lower rate limits and less access.,"GitHub Apps are first-class integrations that authenticate as themselves rather than as a user, using short-lived installation tokens.
They are installed on an organisation or repository level and are granted only the permissions they explicitly request.
GitHub Apps can subscribe to webhook events, call the REST and GraphQL APIs, and act on behalf of users through user access tokens.
Because their permissions are scoped and their tokens expire, GitHub Apps are the recommended integration type for automated workflows and third-party services.",0.06451612903225806,0.8399457931518555,0.0008771999855525792,2.54577619995689,2.5466533999424428
7,Why should developers use webhooks instead of polling?,tfidf,"006_github_rest_best_practices_polling, 044_github_webhooks_overview, 154_github_pages_maintain",006_github_rest_best_practices_polling,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Webhooks are recommended instead of polling to avoid repeated requests.,"The GitHub advises developers to avoid polling the API un necessarily.
Instead, it recommends using webhooks where possible so integrations can react to events without repeatedly
querying the same resources.",0.1,0.8901326060295105,0.0008482999983243644,1.5402069999836385,1.541055299981963
8,How can I get the contents of a file in a repository?,tfidf,"012_github_repository_contents, 256_python_file_io, 013_github_repository_statistics",012_github_repository_contents,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository contents endpoints return file or directory contents.,"The repository contents endpoints allow clients to retrieve the contents of a file or directory in a repository.
If the path is omitted, the API returns the contents of the repository root.
The same section also describes how content can be created, updated, or deleted.",0.26415094339622647,0.8963470458984375,0.0013525999966077507,5.510848700010683,5.512201300007291
9,What is the purpose of repository statistics endpoints?,tfidf,"013_github_repository_statistics, 009_github_repositories_overview, 012_github_repository_contents",013_github_repository_statistics,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository statistics endpoints provide data about repository activity.,"The repository statistics endpoints expose data used by GitHub to visualize repository activity.
These endpoints can help developers analyze contribution patterns and other repository-level metrics.",0.3529411764705882,0.9285761117935181,0.0009734999621286988,0.8277005999698304,0.8286740999319591
10,How does Stack Exchange API provide questions?,tfidf,"014_stackexchange_api_overview, 217_stackexchange_contact, 015_stackexchange_questions_endpoint",015_stackexchange_questions_endpoint,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.5,0.5,The questions endpoint returns questions with filters like score and date.,"Stack Exchange provides an official API with authentication and write support in version 2.3.
The documentation explains how applications can access site data and how developers
can query content across Stack Exchange sites.",0.08888888888888888,0.8439802527427673,0.0008168999920599163,0.7650359999970533,0.7658528999891132
