question_id,question,retrieval_method,retrieved_ids,relevant_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,reference_answer,generated_answer,rouge_l,bertscore_f1,retrieval_latency,generation_latency,total_latency
1,How do I authenticate to the GitHub REST API?,bm25,"004_github_rest_rate_limits, 108_github_apps_overview, 231_github_security_policies",003_github_rest_authentication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Authentication is done using tokens like personal access tokens or GitHub App tokens.,"The GitHub REST API enforces rate limits to protect the platform and keep the service available.
Some endpoints, especially search-related endpoints, have more restrictive limits.
The available request quota depends on how the client authenticates.",0.04081632653061225,0.8511833548545837,0.0004363000043667853,5.425076199986506,5.425512499990873
2,What is the best way to avoid rate limit issues in GitHub API?,bm25,"184_github_project_visualize, 056_api_rate_limiting_strategies, 007_github_rest_best_practices_concurrency","004_github_rest_rate_limits, 005_github_rest_best_practices_auth",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Using authenticated requests and avoiding excessive requests helps prevent rate limits.,"GitHub Projects is designed to help teams visualize and manage their work in a
structured way by bringing together related issues and pull requests.
This organization makes it easier to understand what needs to be done and what is currently in progress.",0.07547169811320754,0.8444539904594421,0.0008776999893598258,1.7377567999647,1.7386344999540597
3,Why should I not send too many API requests at the same time?,bm25,"007_github_rest_best_practices_concurrency, 056_api_rate_limiting_strategies, 265_http2_overview",007_github_rest_best_practices_concurrency,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Too many concurrent requests can trigger secondary rate limits.,"Too many  concurrent requests can trigger secondary rate limits and therefore GitHub recommends avoiding this.
The placing requests them in the waiting list, and process them in a more controlled and sequential way is a safer pattern.",0.391304347826087,0.91009920835495,0.0008730000117793679,1.3296164000057615,1.330489400017541
4,What are the main components of a REST API request?,bm25,"032_openapi_components, 059_integration_testing, 049_rest_api_error_responses",002_github_rest_getting_started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A REST request includes method, path, headers, authentication, and parameters.","The components section of an OpenAPI document provides reusable definitions for schemas,
parameters, responses, request bodies, and security schemes. References to components
are made using the $ref keyword, which avoids repeating the same definition throughout
the document. Centralizing definitions in components improves consistency and reduces
duplication across a large API specification. Schemas defined in components typically
follow the JSON Schema standard.",0.056338028169014086,0.8529398441314697,0.0007315000402741134,2.2640564999892376,2.2647880000295117
5,How can I list repositories for an organization in GitHub?,bm25,"010_github_list_org_repositories, 255_python_list_comprehensions, 011_github_repository_permissions",010_github_list_org_repositories,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,The list organization repositories endpoint returns repositories for a given organization.,"The 'List organization repositories' endpoint returns repositories for a given organization.
It accepts an organization name and supports filtering by repository type, such as all, public, private, forks, sources,
or member repositories.",0.5116279069767442,0.9140562415122986,0.0006978999590501189,5.429549299995415,5.430247199954465
6,What happens if I do not authenticate API requests?,bm25,"109_github_oauth_apps, 218_stackexchange_api_terms_accept, 219_stackexchange_api_attribution","003_github_rest_authentication, 005_github_rest_best_practices_auth",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unauthenticated requests have lower rate limits and less access.,"OAuth Apps allow third-party applications to authenticate as a GitHub user and act on their behalf via the OAuth 2.0 authorization code flow.
When a user authorises an OAuth App, GitHub issues an access token that does not expire unless revoked.
OAuth Apps request scopes such as repo, read:user, or gist to define what resources the token can access.
Unlike GitHub Apps, OAuth App tokens carry all the permissions of the authorising user within the requested scopes, making them broader in access.",0.0425531914893617,0.8348391056060791,0.0007570000016130507,2.4456047999556176,2.4463617999572307
7,Why should developers use webhooks instead of polling?,bm25,"154_github_pages_maintain, 139_github_copilot_inter, 006_github_rest_best_practices_polling",006_github_rest_best_practices_polling,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.5,0.5,Webhooks are recommended instead of polling to avoid repeated requests.,"Using a custom domain with GitHub Pages allows users to maintain ownership and control over their website’s address.
Instead of relying on a GitHub-provided URL, users can use a domain they purchased and manage independently.",0.0851063829787234,0.8572560548782349,0.0006512000109069049,1.1366111999959685,1.1372624000068754
8,How can I get the contents of a file in a repository?,bm25,"012_github_repository_contents, 247_github_rest_api_commits, 231_github_security_policies",012_github_repository_contents,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository contents endpoints return file or directory contents.,"The repository contents endpoints allow clients to retrieve the contents of a file or directory in a repository.
If the path is omitted, the API returns the contents of the repository root.
The same section also describes how content can be created, updated, or deleted.",0.26415094339622647,0.8963470458984375,0.0007839000318199396,1.6027039000182413,1.6034878000500612
9,What is the purpose of repository statistics endpoints?,bm25,"013_github_repository_statistics, 132_github_copilot_generate, 231_github_security_policies",013_github_repository_statistics,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository statistics endpoints provide data about repository activity.,"The repository statistics endpoints expose data used by GitHub to visualize repository activity.
These endpoints can help developers analyze contribution patterns and other repository-level metrics.",0.3529411764705882,0.9285761117935181,0.0006492999964393675,0.7241843999945559,0.7248336999909952
10,How does Stack Exchange API provide questions?,bm25,"014_stackexchange_api_overview, 219_stackexchange_api_attribution, 220_stackexchange_termination",015_stackexchange_questions_endpoint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The questions endpoint returns questions with filters like score and date.,"Stack Exchange provides an official API with authentication and write support in version 2.3.
The documentation explains how applications can access site data and how developers
can query content across Stack Exchange sites.",0.08888888888888888,0.8439802527427673,0.0005493999924510717,2.7426836999948137,2.7432330999872647
11,What types of tokens can be used in GitHub API?,bm25,"109_github_oauth_apps, 191_github_project_monitor, 053_oauth2_overview",003_github_rest_authentication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"GitHub supports personal tokens, app tokens, and GITHUB_TOKEN.","OAuth Apps allow third-party applications to authenticate as a GitHub user and act on their behalf via the OAuth 2.0 authorization code flow.
When a user authorises an OAuth App, GitHub issues an access token that does not expire unless revoked.
OAuth Apps request scopes such as repo, read:user, or gist to define what resources the token can access.
Unlike GitHub Apps, OAuth App tokens carry all the permissions of the authorising user within the requested scopes, making them broader in access.",0.12765957446808512,0.8292286396026611,0.0007418000022880733,1.5634604000370018,1.56420220003929
12,Why is it recommended to avoid unnecessary polling?,bm25,"069_python_logging_module, 058_unit_testing_principles, 006_github_rest_best_practices_polling",006_github_rest_best_practices_polling,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.5,0.5,Polling should be avoided to reduce unnecessary API calls.,"Python's built-in logging module provides a flexible framework for emitting log messages
from applications and libraries. The module defines a hierarchy of loggers identified by
dotted names, and log records propagate up the hierarchy unless propagation is disabled.
Handlers determine where log records are sent, such as to the console via StreamHandler
or to a file via FileHandler, and formatters control the string representation of each
record. The recommended pattern for library code is to create a module-level logger with
logging.getLogger(__name__) and avoid configuring handlers, leaving that to the
application developer.",0.03809523809523809,0.8351995944976807,0.0006299000233411789,1.0419027999741957,1.0425326999975368
13,What does the answers endpoint return in Stack Exchange API?,bm25,"016_stackexchange_answers_endpoint, 014_stackexchange_api_overview, 015_stackexchange_questions_endpoint",016_stackexchange_answers_endpoint,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,The answers endpoint returns undeleted answers.,"The /answers endpoint returns undeleted answers in the system.
It supports sorting by activity, creation date, or votes, which allows researchers to select strong candidate
answers for evaluation datasets.",0.34285714285714286,0.8890055418014526,0.0008302000351250172,0.5434861999819987,0.5443164000171237
14,Why are some repository fields not visible to all users?,bm25,"011_github_repository_permissions, 196_stackexchange_custom_filters, 181_github_project_encourage",011_github_repository_permissions,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Some fields require higher permissions to be visible.,"Some repository fields require higher permissions to be visible.
For example, certain security-related information may only appear for repository administrators or organization
security managers.
Public resources can often be accessed without authentication.",0.3902439024390244,0.9221721291542053,0.0013013999559916556,1.5718522000242956,1.5731535999802873
15,What is the role of query parameters in API requests?,bm25,"031_openapi_paths, 297_github_dependency_graph, 047_rest_api_resource_naming",002_github_rest_getting_started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Query parameters provide additional information for requests.,"In an OpenAPI document, the paths object defines the available API endpoints and the
HTTP operations supported at each path. Each path item can contain operations for
methods such as GET, POST, PUT, DELETE, and PATCH. Operations include descriptions of
parameters, request bodies, expected responses, and security requirements. Path
parameters, query parameters, and header parameters are all described inline within
each operation definition.",0.057142857142857134,0.8490393757820129,0.0007973000174388289,1.3291348000057042,1.329932100023143
16,What is Docker and what problem does it solve?,bm25,"184_github_project_visualize, 191_github_project_monitor, 049_rest_api_error_responses",019_docker_overview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Docker is an open platform for packaging and running applications in isolated containers.,"GitHub Projects is designed to help teams visualize and manage their work in a
structured way by bringing together related issues and pull requests.
This organization makes it easier to understand what needs to be done and what is currently in progress.",0.10909090909090909,0.8635383248329163,0.000699399970471859,1.4202227999921888,1.4209221999626607
17,How is a Docker image built and what makes it reusable?,bm25,"020_docker_images, 184_github_project_visualize, 286_containerisation_best_practices",020_docker_images,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Docker images are built from a Dockerfile and are layered and reusable across environments.,"A Docker image is a read-only template used to create containers. Images are built
from a Dockerfile, which defines the base operating system, dependencies, and
application code to include. Images are layered, meaning each instruction in a
Dockerfile adds a new layer on top of the previous one. Docker Hub and other
registries allow images to be shared and reused across teams and environments.",0.32911392405063294,0.8909360766410828,0.0007255999953486025,3.2942097000195645,3.294935300014913
18,What makes containers isolated from each other?,bm25,"021_docker_containers, 286_containerisation_best_practices, 019_docker_overview",021_docker_containers,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Containers are isolated using Linux namespaces and cgroups.,"A Docker container is a runnable instance of a Docker image. Containers are isolated
from each other and from the host system using Linux namespaces and cgroups. They can
be started, stopped, moved, and deleted independently of other containers. Multiple
containers can run on the same host without interfering with each other's dependencies
or runtime configurations.",0.24615384615384614,0.894563615322113,0.0006751000182703137,0.8857906000339426,0.8864657000522129
19,How do containers communicate with each other in Docker?,bm25,"022_docker_networking, 021_docker_containers, 286_containerisation_best_practices",022_docker_networking,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,"Containers communicate via Docker networks, including the default bridge network and custom networks with DNS-based discovery.","Docker provides built-in networking features that allow containers to communicate with
each other and with external systems. The default bridge network connects containers
on the same host, and custom networks enable DNS-based service discovery by container
name. Host networking and overlay networks are also available for different deployment
scenarios, including multi-host setups using Docker Swarm or Kubernetes.",0.3116883116883117,0.8954375982284546,0.0007104999967850745,2.9190615999978036,2.9197720999945886
20,What does it mean that HTTP is stateless?,bm25,"184_github_project_visualize, 049_rest_api_error_responses, 282_agile_development_overview",023_http_overview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stateless means no session information is retained between requests on the server.,"GitHub Projects is designed to help teams visualize and manage their work in a
structured way by bringing together related issues and pull requests.
This organization makes it easier to understand what needs to be done and what is currently in progress.",0.07407407407407407,0.8454665541648865,0.0006144999642856419,2.3926535000209697,2.3932679999852553
