Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: Challenger Deep is the deepest known point on Earth, located at the bottom of the Mariana Trench in the western Pacific Ocean. It reaches an estimated depth of approximately 10,935 meters (35,876 feet, or about 6.8 miles) below sea level.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: Challenger Deep is named after HMS Challenger, a British oceanographic survey vessel that first charted the depth of the region in 1875 during the Challenger Expedition (1872–76), when a sounding of 26,850 feet (8,184 metres) was recorded near the southern end of the trench.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: Challenger Deep consists of three steep-walled submarine basins (eastern, central, and western) formed by the subduction of the Pacific Plate beneath the Philippine Plate. It is located roughly 322 km (200 miles) southwest of Guam.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: Hydrostatic pressure near the bottom of Challenger Deep exceeds 1,089 standard atmospheres, equivalent to more than 16,000 pounds per square inch — over 1,000 times the atmospheric pressure at sea level.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: The first human descent to Challenger Deep was made on January 23, 1960, by Swiss oceanographer Jacques Piccard and U.S. Navy officer Don Walsh aboard the bathyscaphe Trieste. Their descent reached 10,916 meters (35,814 feet) and took approximately five hours.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: On March 26, 2012, Canadian filmmaker and explorer James Cameron made a solo dive to Challenger Deep, reaching 10,898 meters (35,756 feet) aboard the specially designed submersible Deepsea Challenger, setting a world record for the deepest solo descent.
Source: Britannica | Topic: Challenger Deep | URL: https://www.britannica.com/place/Challenger-Deep | Accessed: 2026-03-13 | Text: Between April 2019 and the end of 2022, there were 20 crewed visits to Challenger Deep. Notable visitors included American astronaut and oceanographer Kathryn Sullivan and investor-adventurer Victor Vescovo, who visited a record 15 times.
Source: Britannica | Topic: Mariana Trench | URL: https://www.britannica.com/place/Mariana-Trench | Accessed: 2026-03-13 | Text: The Mariana Trench is the deepest known oceanic trench on Earth. It is located in the floor of the western North Pacific Ocean, mostly east and south of the Mariana Islands, and stretches more than 2,540 km (1,580 miles) with a mean width of about 69 km (43 miles).
Source: Britannica | Topic: Mariana Trench | URL: https://www.britannica.com/place/Mariana-Trench | Accessed: 2026-03-13 | Text: The Mariana Trench is situated within the territories of the U.S. dependencies of the Northern Mariana Islands and Guam. It was designated a U.S. national monument in 2009.
Source: Britannica | Topic: Mariana Trench | URL: https://www.britannica.com/place/Mariana-Trench | Accessed: 2026-03-13 | Text: Sirena Deep is another extremely deep point in the Mariana Trench, located south of Guam and east of Challenger Deep. First measured in 1997, its depth has been reported at between 10,641 and 10,809 meters (34,911–35,463 feet).
Source: Britannica | Topic: Mariana Trench | URL: https://www.britannica.com/place/Mariana-Trench | Accessed: 2026-03-13 | Text: In 1957, the Soviet research ship Vityaz recorded a depth of 10,990 meters (36,056 feet) in Challenger Deep during the International Geophysical Year, setting a world record at the time. Subsequent measurements using more sophisticated equipment have refined these figures.
Source: Britannica | Topic: Mariana Trench | URL: https://www.britannica.com/place/Mariana-Trench | Accessed: 2026-03-13 | Text: Measuring the precise depth of the Mariana Trench is technically challenging due to the extreme remoteness of the location and the difficulty of delivering accurate instrumentation to such depths. Multiple expeditions have produced different depth measurements over the decades.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: Deep-sea trenches are long, narrow, steep-sided depressions on the ocean floor where the maximum oceanic depths occur, ranging from approximately 7,300 to more than 11,000 meters (24,000 to 36,000 feet). They typically form at subduction zones where one tectonic plate slides beneath another.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: Of Earth's approximately 20 major deep-sea trenches, 17 are found in the Pacific Ocean basin. The Pacific is rimmed by trenches of both marginal and island-arc varieties, collectively known as the Pacific Ring of Fire.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: Deep-sea trenches are generally V-shaped in cross-section with steep landward walls. Typical slopes range between 4° and 16°, though slopes as steep as 45° have been measured in the Tonga Trench. Trenches are relatively narrow, usually less than 100 km (60 miles) wide.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: The Peru-Chile Trench is the longest oceanic trench on Earth, extending approximately 5,900 km (3,700 miles) along the west coast of South America. Subduction zones associated with trenches are also the source of some of the world's largest earthquakes, originating at depths of up to 700 km.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: Deep-sea trenches contain relatively little sediment because material is either dragged into Earth's interior by the subducting plate or deformed into accretionary prisms. Sediments that do accumulate are primarily fine clay, siliceous organic remains, and volcanic ash.
Source: Britannica | Topic: How Was the Mariana Trench Formed | URL: https://www.britannica.com/science/How-Was-the-Mariana-Trench-Formed | Accessed: 2026-03-13 | Text: The Mariana Trench was formed through subduction — a geological process in which the older, denser Pacific Plate is forced beneath the smaller Mariana Plate. As the Pacific Plate bends and sinks into Earth's mantle, it creates a deep, V-shaped trench.
Source: Britannica | Topic: How Was the Mariana Trench Formed | URL: https://www.britannica.com/science/How-Was-the-Mariana-Trench-Formed | Accessed: 2026-03-13 | Text: The subduction of the Pacific Plate beneath the Mariana Plate also drives volcanic activity, forming the Mariana Islands arc. As the subducting plate melts, magma rises to the surface and creates a chain of volcanic islands on the overriding plate.
Source: Britannica | Topic: hadal zone | URL: https://www.britannica.com/science/hadal-zone | Accessed: 2026-03-13 | Text: The hadal zone is the deepest oceanic zone, defined as ocean depths below 6,000 meters (approximately 20,000 feet). It is found exclusively in deep-sea trenches. The Mariana Trench's Challenger Deep is the primary example of the hadal environment.
Source: Britannica | Topic: hadal zone | URL: https://www.britannica.com/science/hadal-zone | Accessed: 2026-03-13 | Text: Sediments on the floor of deep-sea trenches primarily originate from marine snow — a constant slow rain of dead marine organisms, feces, and organic particles sinking from the surface waters far above. This material forms the primary food source for hadal organisms.
Source: Britannica | Topic: deep-sea trench | URL: https://www.britannica.com/science/deep-sea-trench | Accessed: 2026-03-13 | Text: All major deep-sea trenches are associated with significant seismic activity. Earthquakes originate close to and landward of the trenches at shallow depths and at increasingly greater depths farther inland, forming inclined seismic zones that trace the descending lithospheric plate.
